p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
2.66686,2.52631,0.140429,19.9915,0.0133483,0.00859245
2.68534,2.54473,0.1405,19.8501,0.0132539,0.00859839
2.70396,2.56327,0.140571,19.7096,0.01316,0.0086043
2.7227,2.58195,0.140642,19.5703,0.0130669,0.00861018
2.74157,2.60075,0.140713,19.4319,0.0129745,0.00861602
2.76058,2.61968,0.140784,19.2945,0.0128827,0.00862182
2.77971,2.63875,0.140856,19.1581,0.0127916,0.00862759
2.79898,2.65795,0.140927,19.0227,0.0127011,0.00863333
2.81838,2.67728,0.140998,18.8883,0.0126114,0.00863903
2.83792,2.69675,0.141069,18.7549,0.0125222,0.0086447
2.85759,2.71635,0.14114,18.6224,0.0124337,0.00865034
2.8774,2.73609,0.141211,18.4909,0.0123459,0.00865594
2.89734,2.75596,0.141283,18.3603,0.0122587,0.00866151
2.91743,2.77598,0.141354,18.2307,0.0121721,0.00866705
2.93765,2.79613,0.141425,18.102,0.0120861,0.00867255
2.95801,2.81642,0.141496,17.9743,0.0120008,0.00867803
2.97852,2.83686,0.141567,17.8475,0.0119161,0.00868346
2.99916,2.85743,0.141638,17.7216,0.011832,0.00868887
3.01995,2.87815,0.14171,17.5966,0.0117485,0.00869425
3.04089,2.89901,0.141781,17.4725,0.0116656,0.00869959
3.06196,2.92002,0.141852,17.3493,0.0115833,0.0087049
3.08319,2.94118,0.141923,17.227,0.0115016,0.00871018
3.10456,2.96248,0.141994,17.1056,0.0114205,0.00871543
3.12608,2.98393,0.142065,16.985,0.01134,0.00872065
3.14775,3.00553,0.142137,16.8653,0.01126,0.00872584
3.16957,3.02728,0.142208,16.7465,0.0111807,0.008731
3.19154,3.04918,0.142279,16.6286,0.0111019,0.00873612
3.21366,3.07123,0.14235,16.5115,0.0110237,0.00874122
3.23594,3.09344,0.142421,16.3952,0.010946,0.00874628
3.25837,3.1158,0.142492,16.2798,0.0108689,0.00875132
3.28095,3.13831,0.142563,16.1652,0.0107924,0.00875633
3.3037,3.16098,0.142634,16.0514,0.0107164,0.0087613
3.3266,3.18381,0.142706,15.9384,0.0106409,0.00876625
3.34965,3.2068,0.142777,15.8263,0.010566,0.00877116
3.37287,3.22995,0.142848,15.7149,0.0104917,0.00877605
3.39625,3.25326,0.142919,15.6044,0.0104178,0.00878091
3.41979,3.27673,0.14299,15.4947,0.0103445,0.00878574
3.4435,3.30037,0.143061,15.3857,0.0102717,0.00879054
3.46737,3.32417,0.143132,15.2775,0.0101995,0.00879531
3.4914,3.34813,0.143203,15.1701,0.0101278,0.00880006
3.5156,3.37226,0.143274,15.0635,0.0100566,0.00880478
3.53997,3.39656,0.143345,14.9576,0.00998585,0.00880946
3.56451,3.42103,0.143416,14.8525,0.00991565,0.00881412
3.58922,3.44567,0.143487,14.7482,0.00984596,0.00881875
3.6141,3.47048,0.143558,14.6446,0.00977676,0.00882336
3.63915,3.49546,0.143629,14.5417,0.00970807,0.00882794
3.66438,3.52061,0.1437,14.4396,0.00963986,0.00883248
3.68978,3.54594,0.143771,14.3382,0.00957214,0.00883701
3.71535,3.57145,0.143842,14.2375,0.00950491,0.0088415
3.74111,3.59713,0.143913,14.1376,0.00943816,0.00884597
3.76704,3.623,0.143984,14.0384,0.00937189,0.00885041
3.79315,3.64904,0.144055,13.9398,0.0093061,0.00885483
3.81944,3.67526,0.144126,13.842,0.00924077,0.00885921
3.84592,3.70166,0.144197,13.7449,0.00917591,0.00886358
3.87258,3.72825,0.144267,13.6485,0.00911151,0.00886792
3.89942,3.75503,0.144338,13.5527,0.00904758,0.00887223
3.92645,3.78199,0.144409,13.4577,0.0089841,0.00887651
3.95367,3.80913,0.14448,13.3633,0.00892107,0.00888077
3.98107,3.83647,0.144551,13.2696,0.0088585,0.008885
4.00867,3.86399,0.144622,13.1766,0.00879637,0.00888921
4.03645,3.89171,0.144692,13.0842,0.00873468,0.00889339
4.06443,3.91962,0.144763,12.9925,0.00867345,0.00889755
4.09261,3.94772,0.144834,12.9015,0.00861263,0.00890168
4.12098,3.97602,0.144905,12.8111,0.00855226,0.00890579
4.14954,4.00452,0.144975,12.7213,0.00849232,0.00890987
4.1783,4.03321,0.145046,12.6322,0.0084328,0.00891393
4.20727,4.0621,0.145117,12.5437,0.00837371,0.00891797
