p_initial,total_mean,bethe,total_mode,landau_sigma
0.577197,0.000217006,0.000216908,0.000195232,1.6955e-05
0.582942,0.000217247,0.000217148,0.000195448,1.69442e-05
0.588744,0.000217491,0.000217391,0.000195667,1.69336e-05
0.594604,0.000217737,0.000217636,0.000195887,1.69233e-05
0.600521,0.000217985,0.000217883,0.00019611,1.69131e-05
0.606498,0.000218235,0.000218132,0.000196334,1.69031e-05
0.612535,0.000218488,0.000218384,0.000196561,1.68934e-05
0.618631,0.000218743,0.000218638,0.00019679,1.68838e-05
0.624788,0.000219,0.000218894,0.00019702,1.68744e-05
0.631006,0.000219259,0.000219152,0.000197253,1.68652e-05
0.637286,0.00021952,0.000219412,0.000197487,1.68562e-05
0.643629,0.000219783,0.000219675,0.000197723,1.68474e-05
0.650035,0.000220049,0.000219939,0.000197961,1.68387e-05
0.656505,0.000220316,0.000220205,0.000198201,1.68302e-05
0.663039,0.000220585,0.000220473,0.000198443,1.68218e-05
0.669638,0.000220857,0.000220743,0.000198686,1.68137e-05
0.676302,0.00022113,0.000221015,0.000198931,1.68057e-05
0.683033,0.000221405,0.000221289,0.000199177,1.67978e-05
0.689831,0.000221681,0.000221565,0.000199426,1.67901e-05
0.696697,0.00022196,0.000221842,0.000199675,1.67826e-05
0.703631,0.00022224,0.000222121,0.000199927,1.67752e-05
0.710634,0.000222522,0.000222402,0.00020018,1.67679e-05
0.717707,0.000222805,0.000222684,0.000200434,1.67608e-05
0.72485,0.000223091,0.000222968,0.00020069,1.67538e-05
0.732064,0.000223377,0.000223254,0.000200947,1.6747e-05
0.73935,0.000223666,0.000223541,0.000201206,1.67403e-05
0.746709,0.000223956,0.00022383,0.000201466,1.67337e-05
0.75414,0.000224247,0.00022412,0.000201727,1.67273e-05
0.761646,0.00022454,0.000224412,0.00020199,1.6721e-05
0.769227,0.000224835,0.000224705,0.000202254,1.67148e-05
0.776882,0.000225131,0.000225,0.00020252,1.67087e-05
0.784615,0.000225428,0.000225296,0.000202786,1.67027e-05
0.792424,0.000225727,0.000225593,0.000203054,1.66969e-05
0.80031,0.000226027,0.000225892,0.000203323,1.66912e-05
0.808276,0.000226328,0.000226192,0.000203594,1.66856e-05
0.81632,0.000226631,0.000226494,0.000203865,1.66801e-05
0.824445,0.000226935,0.000226796,0.000204138,1.66747e-05
0.83265,0.000227241,0.0002271,0.000204411,1.66694e-05
0.840937,0.000227547,0.000227406,0.000204686,1.66642e-05
0.849307,0.000227855,0.000227712,0.000204962,1.66592e-05
0.85776,0.000228164,0.00022802,0.000205239,1.66542e-05
0.866297,0.000228474,0.000228328,0.000205517,1.66493e-05
0.874919,0.000228785,0.000228638,0.000205796,1.66445e-05
0.883626,0.000229098,0.000228949,0.000206077,1.66398e-05
0.892421,0.000229411,0.000229261,0.000206358,1.66352e-05
0.901303,0.000229726,0.000229574,0.00020664,1.66307e-05
0.910273,0.000230042,0.000229889,0.000206923,1.66263e-05
0.919333,0.000230358,0.000230204,0.000207207,1.66219e-05
0.928483,0.000230676,0.00023052,0.000207491,1.66177e-05
0.937724,0.000230995,0.000230837,0.000207777,1.66135e-05
0.947057,0.000231315,0.000231155,0.000208064,1.66094e-05
0.956482,0.000231635,0.000231475,0.000208351,1.66054e-05
0.966002,0.000231957,0.000231795,0.00020864,1.66015e-05
0.975616,0.00023228,0.000232116,0.000208929,1.65977e-05
0.985326,0.000232603,0.000232438,0.000209219,1.65939e-05
0.995133,0.000232928,0.00023276,0.000209509,1.65902e-05
1.00504,0.000233253,0.000233084,0.000209801,1.65866e-05
1.01504,0.000233579,0.000233409,0.000210093,1.6583e-05
1.02514,0.000233906,0.000233734,0.000210386,1.65795e-05
1.03535,0.000234234,0.00023406,0.00021068,1.65761e-05
1.04565,0.000234562,0.000234387,0.000210975,1.65728e-05
1.05606,0.000234892,0.000234715,0.00021127,1.65695e-05
1.06657,0.000243664,0.000243485,0.000219163,1.65662e-05
1.07718,0.0002438,0.000243619,0.000219284,1.65631e-05
1.0879,0.000243937,0.000243755,0.000219407,1.656e-05
1.09873,0.000244075,0.000243891,0.000219529,1.6557e-05
1.10967,0.000244214,0.000244028,0.000219653,1.6554e-05
1.12071,0.000244353,0.000244165,0.000219777,1.65511e-05
1.13186,0.000244494,0.000244304,0.000219902,1.65482e-05
1.14313,0.000244635,0.000244443,0.000220027,1.65454e-05
1.15451,0.000244777,0.000244583,0.000220154,1.65427e-05
