p_initial,total_mean,bethe,total_mode,landau_sigma
0.210194,0.00122702,0.00122671,0.00110408,0.000119768
0.212286,0.0012245,0.00122418,0.00110181,0.000119294
0.214398,0.00122205,0.00122173,0.00109961,0.00011883
0.216532,0.00121969,0.00121937,0.00109748,0.000118374
0.218687,0.00121741,0.00121708,0.00109542,0.000117928
0.220864,0.0012152,0.00121488,0.00109344,0.00011749
0.223062,0.00121307,0.00121275,0.00109152,0.000117061
0.225282,0.00121102,0.00121069,0.00108967,0.00011664
0.227524,0.00120904,0.00120871,0.00108789,0.000116228
0.229789,0.00120714,0.0012068,0.00108617,0.000115823
0.232076,0.0012053,0.00120496,0.00108452,0.000115427
0.234385,0.00120354,0.0012032,0.00108293,0.000115038
0.236718,0.00120185,0.0012015,0.0010814,0.000114657
0.239074,0.00120022,0.00119987,0.00107994,0.000114284
0.241454,0.00119866,0.00119831,0.00107853,0.000113917
0.243857,0.00119717,0.00119681,0.00107718,0.000113558
0.246284,0.00119574,0.00119538,0.0010759,0.000113206
0.248735,0.00119437,0.00119401,0.00107466,0.000112861
0.251211,0.00119307,0.00119271,0.00107349,0.000112523
0.253711,0.00119183,0.00119146,0.00107237,0.000112191
0.256236,0.00119064,0.00119028,0.0010713,0.000111866
0.258786,0.00118952,0.00118915,0.00107029,0.000111547
0.261362,0.00118846,0.00118808,0.00106933,0.000111234
0.263963,0.00118745,0.00118707,0.00106842,0.000110928
0.26659,0.0011865,0.00118612,0.00106756,0.000110628
0.269243,0.0011856,0.00118522,0.00106675,0.000110333
0.271923,0.00118476,0.00118437,0.00106599,0.000110044
0.274629,0.00118397,0.00118358,0.00106528,0.000109761
0.277363,0.00118324,0.00118284,0.00106462,0.000109484
0.280123,0.00118255,0.00118216,0.001064,0.000109212
0.282911,0.00118192,0.00118152,0.00106343,0.000108945
0.285727,0.00118134,0.00118093,0.0010629,0.000108683
0.288571,0.0011808,0.00118039,0.00106242,0.000108427
0.291443,0.00118032,0.0011799,0.00106198,0.000108175
0.294343,0.00117988,0.00117946,0.00106158,0.000107929
0.297273,0.00117948,0.00117906,0.00106122,0.000107687
0.300232,0.00117914,0.00117871,0.00106091,0.000107451
0.30322,0.00117883,0.00117841,0.00106063,0.000107218
0.306238,0.00117858,0.00117814,0.0010604,0.000106991
0.309285,0.00117836,0.00117793,0.0010602,0.000106767
0.312364,0.00117819,0.00117775,0.00106004,0.000106549
0.315473,0.00117806,0.00117761,0.00105992,0.000106334
0.318612,0.00117797,0.00117752,0.00105984,0.000106124
0.321783,0.00117792,0.00117747,0.00105979,0.000105917
0.324986,0.00117791,0.00117745,0.00105978,0.000105715
0.328221,0.00117794,0.00117748,0.0010598,0.000105517
0.331487,0.00117801,0.00117754,0.00105986,0.000105323
0.334786,0.00117811,0.00117764,0.00105995,0.000105132
0.338118,0.00117825,0.00117778,0.00106007,0.000104946
0.341484,0.00117843,0.00117796,0.00106023,0.000104762
0.344882,0.00117865,0.00117817,0.00106042,0.000104583
0.348315,0.0011789,0.00117841,0.00106064,0.000104407
0.351781,0.00117918,0.00117869,0.00106089,0.000104234
0.355283,0.0011795,0.001179,0.00106118,0.000104065
0.358819,0.00117985,0.00117935,0.00106149,0.000103899
0.36239,0.00118023,0.00117973,0.00106183,0.000103737
0.365997,0.00118065,0.00118014,0.0010622,0.000103577
0.369639,0.00118109,0.00118058,0.0010626,0.000103421
0.373318,0.00118157,0.00118106,0.00106303,0.000103268
0.377034,0.00118208,0.00118156,0.00106348,0.000103118
0.380786,0.00118262,0.00118209,0.00106396,0.00010297
0.384576,0.00118319,0.00118266,0.00106447,0.000102826
0.388404,0.00118379,0.00118325,0.00106501,0.000102685
0.392269,0.00118441,0.00118387,0.00106556,0.000102546
0.396173,0.00118506,0.00118452,0.00106615,0.00010241
0.400116,0.00118575,0.00118519,0.00106676,0.000102276
0.404099,0.00118645,0.0011859,0.00106739,0.000102146
0.40812,0.00118719,0.00118663,0.00106805,0.000102017
0.412182,0.00118795,0.00118738,0.00106873,0.000101892
0.416285,0.00118873,0.00118816,0.00106943,0.000101769
0.420428,0.00118954,0.00118897,0.00107016,0.000101648
0.424612,0.00119038,0.0011898,0.0010709,0.000101529
0.428838,0.00119124,0.00119065,0.00107167,0.000101413
0.433106,0.00119212,0.00119153,0.00107246,0.000101299
0.437417,0.00119303,0.00119243,0.00107328,0.000101188
0.44177,0.00119396,0.00119335,0.00107411,0.000101078
